National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2016-1191702,HMSC16-07-23-Pp,16NWR07108,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,north of Siltcoos River,43.90089,dd.dddd,,_124.15316,,GPS,N,CBD,2016-JUL-23,2016,JUL,23,Beach or Land,,Mummified/Skeletal,N,2016-JUL-23,2016,JUL,23,Mummified/Skeletal,N,UNKNOWN,UNKNOWN,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2013-1149221,HMSC13-06-14-Pp,13NWR06009,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,Siltcoos River,43.878747,dd.dddd,,_124.153814,,Internet,N,CBD,2013-JUN-14,2013,JUN,14,Floating,,Advanced Decomposition,Y,,,,,,N,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate,N,,,,,,,,sighted by USDA Wildlife Services biologist,
NW-2014-1159838,HMSC14-07-16-Pp,14NWR07104,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,"just N of Siltcoos, about 200 ft south of breach sand road access",43.893099,dd.dddd,,_124.153969,,Internet,N,CBD,2014-JUL-16,2014,JUL,16,Beach or Land,,Moderate Decomposition,N,2014-JUL-16,2014,JUL,16,Moderate Decomposition,N,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2017-1196321,HMSC17-05-16-Lb,17NWR05042,"Dolphin, northern right whale",Lissodelphis,borealis,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,north of Siltcoos estruary,43.887905,decimal degrees,,_124.154694,,GPS,N,N,2017-MAY-16,2017,MAY,16,Beach or Land,,Fresh Dead,N,2017-MAY-16,2017,MAY,16,Fresh Dead,N,FEMALE,ADULT,219,cm,actual,87,kg,actual,Y,complete,fresh,2017-MAY-17,2017,MAY,17,OSU VDL,,
NW-2017-1193666,HMSC17-01-09-Lo,17NWR01016,"Dolphin, Pacific white-sided",Lagenorhynchus,obliquidens,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,"Siltcoos Beach, marker #110",43.885624,decimal degrees,,_124.154973,,Internet,N,CBD,2017-JAN-04,2017,JAN,4,Beach or Land,,Moderate Decomposition,N,2017-JAN-09,2017,JAN,9,Moderate Decomposition,N,UNKNOWN,UNKNOWN,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2014-1158464,HMSC14-07-10-Pp,14NWR07012,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,"100 yards north of breach sand road, about 1/2 mile north of Siltcoos parking lot",43.888437,dd.dddd,,_124.155063,,Internet,N,CBD,2014-JUL-10,2014,JUL,10,Beach or Land,,Moderate Decomposition,N,2014-JUL-10,2014,JUL,10,Moderate Decomposition,N,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2008-1077887,HMSC08-04-27-Pp,08NWR04016,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Florence,Lane,OR,Pacific Ocean,Siltcoos Recreation Area,43.883817,dd.dddd,,_124.155283,,GPS,N,CBD,2008-APR-27,2008,APR,27,Beach or Land,,Moderate Decomposition,N,2008-APR-29,2008,APR,29,Moderate Decomposition,N,MALE,ADULT,137.5,cm,actual,84,lb,actual,Y,limited,fresh,2008-APR-29,2008,APR,29,Jim Rice,"carcass bloated, scavenger damage to right side of head, caudal peduncle and right lobe of fluke; dorsal fin very flaccid, skin sloughed off of dorsal fin, flukes and flippers, suggesting that carcass had rolled in surf for a while",
NW-2011-1135044,HMSC11-07-12-Pp,11NWR07047,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Hatfield Marine Science Center, OSU","Hatfield Marine Science Center, OSU",NW,Gardiner,Douglas,OR,Pacific Ocean,near the Carter Lake Trail,43.855017,dd.dddd,,_124.160492,,Internet,N,CBD,2011-JUL-12,2011,JUL,12,Beach or Land,,Moderate Decomposition,N,2011-JUL-12,2011,JUL,12,Moderate Decomposition,N,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate,N,,,,,,,,,
NW-2010-1121656,HMSC10-05-07-Er,10NWR05037,"Whale, gray",Eschrichtius,robustus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Hatfield Marine Science Center, OSU",NW,Newport,Lincoln,OR,Pacific Ocean,"10 miles NW of Newport, about 3 miles offshore",44.77705,dd.dddd,,_124.162667,,GPS,N,Y,2010-MAY-07,2010,MAY,7,Beach or Land,,Alive,Y,,,,,,Y,UNKNOWN,ADULT,600,in,estimate,0,lb,estimate,NA,,,,,,,,"entangled adult gray whale sighted by private plane pilot; later observed by USCG helo; OSU team responded in RHIB but could not locate whale after extensive search, assisted by USCG vessel",
NW-2017-1197717,HMSC17-08-10-Pp,17NWR08027,"Porpoise, harbor",Phocoena,phocoena,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,Florence,Lane,OR,Pacific Ocean,just north of Dunes Overlook trail,43.836947,decimal degrees,,_124.163735,,Internet,N,CBD,2017-AUG-10,2017,AUG,10,Beach or Land,,Fresh Dead,N,2017-AUG-10,2017,AUG,10,Fresh Dead,N,UNKNOWN,SUBADULT,48,in,estimate,0,lb,estimate,N,,,,,,,,,
