"","Year.of.Observation","Cetacean.Common.Name","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","NA"
"87",2008,"Humpback whale",NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA
"88",2008,"Killer whale",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"89",2008,"Northern right whale dolphin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2008,"Sperm whale",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"91",2008,"Unidentified",NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
"92",2009,"Dalls porpoise",NA,NA,NA,1,NA,NA,NA,1,1,NA,1,1,NA
"93",2009,"Fin whale",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"94",2009,"Gray whale",NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,1,NA
"95",2009,"Harbor porpoise",3,3,4,6,2,2,19,13,8,6,NA,1,1
"96",2009,"Short-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"97",2009,"Sperm whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"98",2009,"Unidentified",NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA
"99",2010,"Bairds beaked whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"100",2010,"Bottlenose dolphin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"101",2010,"Dalls porpoise",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"102",2010,"Fin whale",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2010,"Gray whale",1,1,NA,4,3,NA,1,NA,NA,NA,NA,NA,NA
"104",2010,"Harbor porpoise",3,2,5,1,10,5,13,5,3,4,3,2,NA
"105",2010,"Humpback whale",NA,NA,NA,1,NA,NA,NA,1,1,NA,2,1,NA
"106",2010,"Killer whale",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"107",2010,"Long-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"108",2010,"Minke whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"109",2010,"Other",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"110",2010,"Pacific white-sided dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"111",2010,"Sperm whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2010,"Striped dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"113",2010,"Unidentified",NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"114",2011,"Bottlenose dolphin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2011,"Dalls porpoise",NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"116",2011,"Fin whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2011,"Gray whale",NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,1,NA
"118",2011,"Harbor porpoise",4,5,6,12,15,12,17,9,8,3,NA,NA,1
"119",2011,"Hybrid",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"120",2011,"Killer whale",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"121",2011,"Pacific white-sided dolphin",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"122",2011,"Short-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"123",2011,"Striped dolphin",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2011,"Unidentified",NA,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,NA
"125",2012,"Bottlenose dolphin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"126",2012,"Dalls porpoise",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"127",2012,"Gray whale",1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2012,"Harbor porpoise",1,3,4,7,30,18,16,17,8,4,6,2,NA
"129",2012,"Humpback whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"130",2012,"Killer whale",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2012,"Long-beaked common dolphin",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2012,"Northern right whale dolphin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2012,"Pacific white-sided dolphin",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"134",2012,"Sperm whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"135",2012,"Striped dolphin",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA
"136",2012,"Unidentified",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2013,"Cuviers beaked whale",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"138",2013,"Dalls porpoise",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2013,"Fin whale",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"140",2013,"Gray whale",1,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA
"141",2013,"Harbor porpoise",2,1,3,5,9,3,10,11,2,2,3,5,NA
"142",2013,"Humpback whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"143",2013,"Killer whale",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",2013,"Pacific white-sided dolphin",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"145",2013,"Rissos",NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA
"146",2013,"Short-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"147",2013,"Sperm whale",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"148",2013,"Striped dolphin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"149",2013,"Unidentified",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"150",2014,"Dalls porpoise",NA,1,NA,NA,NA,1,NA,2,1,NA,NA,1,NA
"151",2014,"Gray whale",NA,NA,1,2,1,1,NA,1,NA,3,NA,1,NA
"152",2014,"Harbor porpoise",6,2,3,3,18,12,24,18,6,3,1,1,NA
"153",2014,"Humpback whale",NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA
"154",2014,"Minke whale",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"155",2014,"Other",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2014,"Pacific white-sided dolphin",NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"157",2014,"Rissos",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2014,"Short-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
"159",2014,"Sperm whale",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",2014,"Striped dolphin",NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"161",2014,"Unidentified",1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"162",2015,"Bairds beaked whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"163",2015,"Dalls porpoise",NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA
"164",2015,"Gray whale",1,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"165",2015,"Harbor porpoise",1,3,3,6,5,3,18,16,8,6,3,3,NA
"166",2015,"Humpback whale",NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA
"167",2015,"Killer whale",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"168",2015,"Long-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"169",2015,"Northern right whale dolphin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"170",2015,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"171",2015,"Pacific white-sided dolphin",NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA
"172",2015,"Rissos",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2015,"Short-beaked common dolphin",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"174",2015,"Stejnegers beaked whale",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"175",2015,"Striped dolphin",NA,NA,NA,1,NA,NA,NA,NA,1,NA,4,NA,NA
"176",2015,"Unidentified",NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA
"177",2016,"Blainvilles beaked whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"178",2016,"Dalls porpoise",NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"179",2016,"Gray whale",1,NA,1,2,1,1,NA,1,NA,NA,NA,1,NA
"180",2016,"Harbor porpoise",2,2,4,2,5,4,19,9,7,5,2,6,1
"181",2016,"Humpback whale",1,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA
"182",2016,"Killer whale",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"183",2016,"Long-beaked common dolphin",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",2016,"Northern right whale dolphin",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"185",2016,"Pacific white-sided dolphin",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",2016,"Pygmy sperm whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"187",2016,"Sperm whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"188",2016,"Striped dolphin",2,3,4,NA,NA,NA,NA,NA,1,3,1,1,NA
"189",2016,"Unidentified",1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"190",2017,"Bairds beaked whale",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",2017,"Dalls porpoise",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"192",2017,"Fin whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"193",2017,"Gray whale",2,1,1,1,3,4,1,1,NA,1,NA,NA,NA
"194",2017,"Harbor porpoise",NA,3,2,5,13,10,13,10,4,4,3,2,NA
"195",2017,"Humpback whale",NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"196",2017,"Killer whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"197",2017,"Long-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"198",2017,"Minke whale",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"199",2017,"Northern right whale dolphin",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"200",2017,"Pacific white-sided dolphin",1,NA,1,NA,1,2,NA,NA,NA,1,NA,NA,NA
"201",2017,"Pygmy sperm whale",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"202",2017,"Short-beaked common dolphin",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2017,"Sperm whale",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",2017,"Striped dolphin",NA,2,4,NA,NA,NA,NA,1,NA,NA,2,1,NA
"205",2017,"Unidentified",1,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA
"206",2018,"Dalls porpoise",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"207",2018,"Gray whale",NA,NA,NA,3,4,3,1,NA,NA,NA,NA,NA,NA
"208",2018,"Harbor porpoise",NA,NA,3,4,6,4,15,19,2,9,2,2,3
"209",2018,"Humpback whale",NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1
"210",2018,"Killer whale",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"211",2018,"Long-beaked common dolphin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"212",2018,"Northern right whale dolphin",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"213",2018,"Pacific white-sided dolphin",NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
"214",2018,"Short-beaked common dolphin",1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",2018,"Sperm whale",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",2018,"Stejnegers beaked whale",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"217",2018,"Striped dolphin",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
"218",2018,"Unidentified",1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1
"219",2019,"Dalls porpoise",NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
"220",2019,"Gray whale",NA,2,1,12,13,7,3,3,1,NA,NA,NA,NA
"221",2019,"Harbor porpoise",2,3,8,4,6,6,13,15,6,3,NA,1,NA
"222",2019,"Humpback whale",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"223",2019,"Long-beaked common dolphin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",2019,"Northern right whale dolphin",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",2019,"Pacific white-sided dolphin",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"226",2019,"Pygmy sperm whale",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",2019,"Striped dolphin",NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",2019,"Unidentified",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
