County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Weight.actual.estimate,Necropsied.Flag,Necropsy.Limited.Flag,Necropy.Carcass.Fresh.Frozen,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Additional.Identifiers,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2000-1023643,ErPJG20004,NMFSNW-1445,"Whale, gray",Eschrichtius,robustus,Validated,P. Gearin,NA,MFS/NMML,NW,Point of Arches,WA,NA,.5 mile south of Point of Arches in Olympic National Park,NA,NA,NA,NA,NA,NA,NA,N,2000-JUN-17,2000,JUN,17,NA,NA,Fresh Dead,N,2000-JUN-21,2000,JUN,21,Advanced Decomposition,N,Female,Unid,1219,cm,actual,NA,kg,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray whale,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2013-1151365,MKH2013-005,13NWR04032,"Whale, gray",Eschrichtius,robustus,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Beach just North of Shi Shi beach access,48.278,dd.dddd,estimate,-124.6808,estimate,Internet/Software,N,CBD,2013-APR-14,2013,APR,14,Beach or Land,NA,Moderate Decomposition,N,2013-APR-23,2013,APR,23,Moderate Decomposition,N,Female,Subadult,845,cm,actual,NA,NA,NA,Y,limited,fresh,2013-APR-23,2013,APR,23,MFM,"Originally reported to MFM on 14-Apr-13, came from out of town visitor reporting whale at Point of the Arches. Staff from MFM hiked out to Point of the Arches that week and did not see whale. On 4/20/13 volunteers with beach clean-up sighted whale at beach just North of Shi Shi beach access/ Shipwreck Point. AA and JS responded on 23-Apr-13 for exam.",NA,Gray whale,Inland_WA,48.14144159,-124.1882836,0.492516358,-0.13655841,-124.6808,48.278
Clallam,NW-2014-1159002,MKH2014-009,14NWR06038,"Whale, gray",Eschrichtius,robustus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Ozette,WA,Pacific Ocean,2 miles north of Norwegian Memorial,48.0671,dd.dddd,estimate,-124.6944,estimate,Internet/Software,N,CBD,2014-JUN-21,2014,JUN,21,Beach or Land,NA,Advanced Decomposition,Y,2014-JUL-13,2014,JUL,13,Advanced Decomposition,N,Unid,Unid,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"Dead whale reported to Bob Campbell, Feiro Marine Life Center. Sighted 2 miles north of Norwegian Memorial. Coordinates given were N 48 4' W 124 42'. In photos skin almost completely gone from carcass, skin weathered and sun baked. Jaw bone appears broken and is separated from rest of carcass. Unknown if break happened pre- or post- mortem, natural (post-mortem) or human caused. JS tried to respond on 13-Jul but were unable to relocate due to tide. By the time of response and carcass already in advanced decomposition so unable to evaluate whether possible boat collision. In August 2014, AA was called for Mora Ranger who reported seeing the carcass while hiking between Rialto and Sand Point.",NA,Gray whale,Inland_WA,48.14144159,-124.1882836,0.506116358,0.07434159,-124.6944,48.0671
Clallam,NW-2005-1047153,OLYM-2005-007,05NWR07027,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,Olympic National Park,Olympic National Park,NW,Kalaloch,WA,Pacific Ocean,South Beach campground,NA,NA,NA,NA,NA,NA,N,CBD,2005-JUL-22,2005,JUL,22,Beach or Land,NA,Fresh Dead,N,2005-JUL-22,2005,JUL,22,Fresh Dead,N,Male,Calf,36,in,estimate,20,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2006-1060995,06-CL-001,06NWR09019,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,NA,WA,Pacific Ocean,North of the Ozette River and 400 years north of Seafield Creek,48.13,deg/min/sec,estimate,-124.42,estimate,Map,N,N,2006-SEP-29,2006,SEP,29,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Subadult,36,in,estimate,80,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.231716358,0.01144159,-124.42,48.13
Clallam,MKH2014-29,MKH2014-29,NA,"Dolphin, common, short-beaked",Delphinus,delphis,NA,NA,NA,NA,NA,NA,WA,NA,NA,48.3013,NA,NA,-124.67,NA,NA,NA,N,11/10/14,2014,NOV,NA,NA,NA,Dead,NA,NA,NA,NA,NA,NA,NA,Male,Subadult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short-beaked common dolphin,NA,48.14144159,-124.1882836,0.481716358,-0.15985841,-124.67,48.3013
Clallam,NW-2017-1200558,MKH2017-006,17NWR04056,"Whale, Bairds beaked",Berardius,bairdii,Ready for Regional Validation,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Shi Shi Beach near Point of Arches,48.2456,dd.dddd,estimate,-124.6996,estimate,Internet,N,CBD,2017-APR-01,2017,APR,1,Beach or Land,NA,NA,N,2017-APR-01,2017,APR,1,Advanced Decomposition,N,Male,Adult,515,cm,actual,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,Back of skull crushed as was atlas vertebrae. It is possibly due to ship strike but cannot determine if trauma was ante- or post mortem. Whale carcass was heavily scavenged.,NA,NA,Bairds beaked whale,Inland_WA,48.14144159,-124.1882836,0.511316358,-0.10415841,-124.6996,48.2456
Clallam,NW-2008-1081437,DNG-08-01,08NWR07075,"Porpoise, harbor",Phocoena,phocoena,Validated,WDFW,USFWS,NOAA Fisheries,NW,Sequim,WA,Pacific Ocean,"Puget Sound Base of Dungeoness Spit, south 1/2 mile",48.147275,decimal degrees,actual,-123.19,actual,Internet,N,CBD,2008-JUL-21,2008,JUL,21,NA,NA,Fresh Dead,N,2008-JUL-21,2008,JUL,21,Fresh Dead,N,Female,Calf,87,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.998283642,-0.00583341,-123.19,48.147275
Clallam,NW-2006-1058649,MBHPp042706,06NWR04031,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer Organization,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Sequim,WA,Strait of Juan de Fuca,Diamond Point,48.0534,deg/min/sec,actual,-122.55,actual,Internet,N,N,2006-APR-27,2006,APR,27,Beach or Land,NA,Fresh Dead,N,2006-APR-27,2006,APR,27,Fresh Dead,N,Male,Subadult,135,cm,actual,NA,NA,NA,Y,NA,NA,2006-JUN-21,2006,JUN,21,Raverty and Hanson,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-1.638283642,0.08804159,-124.1882836,48.0534
Clallam,NW-2005-1044157,05-CM-033,05NWR05001,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,Port Angeles,WA,Strait of Juan de Fuca,West of Mouth of Elwha,48.0818,deg/min/sec,actual,-123.34,actual,GPS,N,CBD,2005-MAY-04,2005,MAY,4,Beach or Land,NA,Advanced Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Unid,0,in,estimate,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,only skeleton and some flesh left (heavily scavenged),NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-0.848283642,0.05964159,-123.34,48.0818
