County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,Country,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Obs.Date.estimate.explaination,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Pierce,NW-2013-1154548,WDFW2013-108,13NWR10032,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,NA,Purdy,WA,Puget Sound,South side purdy spit mid by only Madrona,47.3817,dd.dddd,actual,-122.634,dd.dddd,actual,Internet/Software,N,CBD,2013-OCT-29,2013,OCT,29,Beach or Land,NA,NA,Moderate Decomposition,N,2013-OCT-30,2013,OCT,30,Moderate Decomposition,N,Female,Subadult,122,cm,actual,35,kg,2013-OCT-30,2013,OCT,30,WDFW/MMI,Found dead on beach by RP seen the day before 10/28/13. Reported to CRC 10/29/13 and WDFW/ MMI DML responded 10/30/13. Carcass was examined and minimal sample taken.,Harbor porpoise,Inland_WA,4.73E+14,-1.23E+13,-0.09648663,-0.09704763,-122634,473817
Pierce,NW-2019-1220723,WDFW2019-155,19NWR10047,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,Dyanna Lambourn,Washington Department of Fish and Wildlife,Washington Department of Fish and Wildlife,NW,,Purdy,WA,Puget Sound,Mid Purdy Spit,47.3805,decimal degrees,actual,-122.6376,decimal degrees,actual,Internet,N,Y,2019-OCT-20,2019,OCT,20,Beach or Land,,,Fresh Dead,Y,2019-OCT-20,2019,OCT,20,Fresh Dead,N,Female,Subadult,146,cm,actual,56,kg,2019-OCT-21,2019,OCT,21,WDFW/MMI,"Received report through NOAA enforcement as been ""shot"". Appear to be scavenging. Collected and put on ice until necropsy.. Scavenging on R- Cheek and eye, also partially right side Linear impressions/ lacerations appear to have started to healed2 area of abrasions/ Linear impression around rostrum and lower lip, dorsal fin and flukes. See drawings for specific locations. . Justification: Based on the linear impression around rostrum, lower jaw dorsal and fluke. It confirms porpoise was recently entangled but suspect the likely release alive. Suspect died to injuries and suspect capture myopathy 1-3 days later. History: Active tribal fishing in area. No net fishery seen right at spit but boat launching from boat ramp to probably fish minter creek area just south of launch. Regs show open for multiple tribes. Comments: Linear impressions/ lacerations appear to have started to healed. 2 area of abrasions/ Linear impression around rostrum and lower lip, dorsal fin and flukes. See drawings for specific locations. L. side reddened into blubber. As well reddened into back strap. And muscle friable. Adipose/ fascia swollen yellowish tan (necrotic?) along area hemorrhage into muscle spine. Edema between aorta and esophagus also hemorrhage. Prolific froth coming from blowhole Epiglottitis and beak purple. Hemorrhage under impressions.",,,,,,,,
King,NW-2013-1193150,CRC-1574,13NWR10068,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Vashon,WA,Puget Sound,25519 SW 140th Lane,47.377,decimal degrees,estimate,-123,decimal degrees,estimate,NA,N,CBD,2016-OCT-11,2016,OCT,11,Beach or Land,NA,NA,Fresh Dead,N,2016-OCT-13,2016,OCT,13,Fresh Dead,N,Male,Calf,98,cm,actual,14,kg,2016-NOV-22,2016,NOV,22,CRC,frozen for later necropsy.,Harbor porpoise,Inland_WA,4.75E+14,-1.22E+14,0.528373444,0.163743593,-123,47377
Pierce,NW-2007-1078163,WDFW1207-04,07NWR12060,Confirmed- High Report,"Porpoise, HYBRID",NA,NA,Validated,Dyanna Lambourn,Washington Department of Fish and Wildlife,Washington Department of Fish and Wildlife,NW,NA,Gig Harbor,WA,Puget Sound,8814 Springbrook Lane,47.3749,dd.dddd,NA,-122.655,dd.dddd,NA,GPS,N,N,2007-DEC-20,2007,DEC,20,Beach or Land,NA,NA,Fresh Dead,N,2007-DEC-20,2007,DEC,20,Fresh Dead,N,Male,Adult,189,cm,Actual,98,kg,2007-DEC-21,2007,DEC,21,WDFW/CRC,Reported dead on beach. Tide coming in. DML responded and moved out of water and secured for a later pick-up. Dyanna and Jessie picked up at 14:30 on same day for necropsy the following morning.,Hybrid,Inland_WA,4.73E+14,-1.23E+13,-0.07548663,-0.09024763,-122655,473749
Pierce,NW-2007-1075015,CRC-827,07NWR10111,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Gig Harbor,WA,Henderson Bay,down cliff behind homes on 102 Ave Ct NW,47.367,decimal degrees,NA,-122.6783,decimal degrees,NA,GPS,N,Y,2007-OCT-29,2007,OCT,29,Beach or Land,NA,NA,Moderate Decomposition,N,2007-OCT-30,2007,OCT,30,Moderate Decomposition,N,Male,Calf,122,cm,Actual,NA,NA,NA,NA,NA,NA,NA,"reported 29 Oct 07 but first seen on 26-Oct. Area where tribal fishing has been occuring, found in immediate area of CRC-826 (another harbor porpoise).",Harbor porpoise,Inland_WA,4.73E+14,-1.23E+13,-0.05218663,-0.08234763,-1226783,47367
Pierce,NW-2007-1075013,CRC-826,07NWR10110,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Gig Harbor,WA,Henderson Bay,down cliff behind homes on 102 Ave Ct NW,47.3669,decimal degrees,NA,-122.6788,decimal degrees,NA,GPS,N,Y,2007-OCT-29,2007,OCT,29,Beach or Land,NA,NA,Moderate Decomposition,N,2007-OCT-30,2007,OCT,30,Moderate Decomposition,N,Female,Adult,170,cm,Actual,60,kg,2007-OCT-31,2007,OCT,31,CRC/WDFW,"reported 29 Oct 07 but first seen on 26-Oct. Area where tribal fishing has been occuring, found in immediate area of CRC-827 (another harbor porpoise).",Harbor porpoise,Inland_WA,4.73E+14,-1.23E+13,-0.05168663,-0.08224763,-1226788,473669
Mason,NW-2018-1208005,CRC-1702,18NWR12030,NA,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,Jessie Huggins,Cascadia Research,Cascadia Research,NW,NA,Allyn,WA,Puget Sound,231 Nelson Rd,47.3606,decimal degrees,actual,-122.8257,decimal degrees,actual,GPS,N,CBD,2018-DEC-28,2018,DEC,28,Beach or Land,NA,NA,Fresh Dead,Y,2019-JAN-01,2019,JAN,1,Fresh Dead,N,Female,Calf,127,cm,actual,35,kg,2019-JAN-01,2019,JAN,1,CRC,"First seen on 28-Dec but not reported until 31-Dec. Outdoor temps in low 40s during the day and low to mid 30s at night, so carcass remained reasonably cold during the few days on the beach. Note: Transient KWs were in SPS on the 27th, per Orca Network reports.. Thin outermost layer of skin beginning to dry and slough, especially on L side. Minor scavenging at R lower jaw and eye. Superficial scrapes and scratches on top of head and area forward of dorsal and around mouth. Notch taken out of trailing edge of L fluke.. . no evidence of HI but condition of skin (scratches, scrapes, and cracks) would make it difficult to see line markings if they had been there, particularly around the mouth. COD acute, excellent body condition.",Harbor porpoise,Inland_WA,4.75E+14,-1.23E+14,-0.131071429,0.176714286,-1228257,473606
Pierce,NW-2012-1151021,MBHPp070612,12NWR07076,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,B. Hanson,NMFS West Coast Region - Seattle,NMFS,NW,United States,Maurry Island,WA,Pacific Ocean,27542 Sandy Shores. Dr. SW Puget Sound,47.357214,decimal degrees,estimate,-122.445739,decimal degrees,estimate,Internet,N,N,2012-JUL-06,2012,JUL,6,Beach or Land,NA,NA,Fresh Dead,N,2012-JUL-06,2012,JUL,6,Fresh Dead,N,Female,Adult,0,cm,estimate,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.73E+14,-1.23E+13,-0.28474763,-0.07256163,-122445739,47357214
Mason,NW-2016-1184822,CRC-1514,16NWR01018,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Erin Keene,Cascadia Research,Cascadia Research,NW,NA,Union,WA,Hood Canal,4841 E Hwy 106,47.357,dd.dddd,actual,-123,dd.dddd,actual,GPS,N,N,2016-JAN-28,2016,JAN,28,Beach or Land,NA,NA,Fresh Dead,N,2016-JAN-29,2016,JAN,29,Fresh Dead,N,Male,Subadult,132,cm,actual,70,lb,2016-JAN-31,2016,JAN,31,CRC,kept on ice until necropsy on 31 Jan,Harbor porpoise,Inland_WA,4.75E+14,-1.23E+14,0.043228571,0.180314286,-123,47357
King,NW-2009-1120638,CRC-1020,09NWR12030,Confirmed- High Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,NA,Vashon,WA,Puget Sound,Vashon Island,47.3561,dd.dddd,NA,-122.4478,dd.dddd,NA,GPS,N,N,2009-DEC-26,2009,DEC,26,Beach or Land,NA,NA,Moderate Decomposition,N,2009-DEC-28,2009,DEC,28,Moderate Decomposition,N,Male,Subadult,177,cm,Actual,150,kg,2009-DEC-28,2009,DEC,28,CRC/WDFW,RP tied off late on the night of the 26th. CRC was notified on the 27th but was not able to respond until the 28th.,Dalls porpoise,Inland_WA,4.75E+14,-1.22E+14,-0.023826556,0.184643593,-1224478,473561
