"County","National.Database.Number","Field.Number","HI","Nmfs.Regional.Number","Confidence.Code","Common.Name","Genus","Species","Report.Status","Examiner.Name","Affiliation","Stranding.Agreement.Authority","Region","Country","City","State","Body.of.Water","Locality.Detail","Latitude","Latitude.Units","Latitude.Actual.Estimate","Longitude","Longitude.Units","Longitude.Actual.Estimate","How.lat.long.determined","Restrand","Findings.of.Human.Interaction","Observation.Date","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Obs.Date.estimate.explaination","Observation.Date.Act.Est","Observation.Status","Not.Able.to.Examine","Date.of.Examination","Year.of.Examination","Month.of.Examination","Day.of.Examination","Condition.at.Examination","Left.at.Site","Sex","Age.Class","Length","Length.Units","Length.actual.estimate","Weight","Weight.Units","Date.of.Necropsy","Year.of.Necropsy","Month.of.Necropsy","Day.of.Necropsy","Stranding.Necropsied.By","Additional.Remarks","Cetacean.Common.Name","Water.Body","Long_error","Lat_error","long_corr","lat_corr","mean_lat","mean_long"
"Kitsap","NW-2014-1159481","CRC-1450",NA,"14NWR09008","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","Bainbridge Island","WA","Puget Sound","floating off Port Madison",47.7114,"dd.dddd","estimate",-122.5221,"dd.dddd","estimate","Internet/Software","N","N","2014-SEP-07",2014,"SEP","7","Floating","NA","NA","Fresh Dead","N","2014-SEP-07","2014","SEP","7","Fresh Dead","N","Female","Adult","178.5","cm","actual","60","kg","2014-SEP-08","2014","SEP","8","CRC/WDFW","found floating at 1400, brought ashore by RP to 8554 NE Gordon Dr and we picked up there.","Harbor porpoise","Inland_WA",-0.000693877551029232,-9.38775510164191e-05,-122.5221,47.7114,47.711306122449,-122.522793877551
"Mason","NW-2019-1211865","CRC-1730",NA,"19NWR05037","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW",NA,"Harstine Island","WA","Puget Sound","SW tip",47.1717,"decimal degrees","actual",-122.8761,"decimal degrees","actual","GPS","N","CBD","2019-MAY-26",2019,"MAY","26","Beach or Land",NA,NA,"Fresh Dead","Y","2019-MAY-28","2019","MAY","28","Fresh Dead","N","Female","Adult","163.5","cm","actual","70","kg","2019-MAY-29","2019","MAY","29","CRC/WDFW","Reported late evening of May 26, RP kayaked by next day to see if still there but could not see it from his boat. Reported again @ same area evening of 27 May by a differetn RP. Boat access only. Retrieved on 28 May and put on ice until necropsy next day.. Bruising visible through skin along entire ventrum. Genital slit distended. Dorsal side of L pectoral fin has 4x4x1cm raised, hard area mid fin. Scavenging on back just behind dorsal fin, around edges of blowhole, and on L lower jaw. Parallel scratches (skin deep) along L ventral flank near genital slit, running paralel to body.. . no external signs of HI but internal trauma of unknown origin present.","Harbor porpoise","Inland_WA",-0.0430750000000018,0.113550000000004,-122.8761,47.1717,47.28525,-122.919175
"Mason","NW-2016-1184822","CRC-1514",NA,"16NWR01018","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Erin Keene","Cascadia Research","Cascadia Research","NW","United States","Union","WA","Hood Canal","4841 E Hwy 106",47.3571,"dd.dddd","actual",-123.1051,"dd.dddd","actual","GPS","N","N","2016-JAN-28",2016,"JAN","28","Beach or Land","NA","NA","Fresh Dead","N","2016-JAN-29","2016","JAN","29","Fresh Dead","N","Male","Subadult","132","cm","actual","70","lb","2016-JAN-31","2016","JAN","31","CRC","kept on ice until necropsy on 31 Jan","Harbor porpoise","Inland_WA",0.185924999999997,-0.0718499999999977,-123.1051,47.3571,47.28525,-122.919175
"Mason","NW-2018-1208014","CRC-1700","Confirmed","18NWR12032","NA","Porpoise, harbor","Phocoena","phocoena","Ready for Regional Validation","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","Shelton","WA","Puget Sound","742 E McMicken Rd",47.2516,"dd.dddd","actual",-122.8698,"dd.dddd","actual","GPS","N","Y","2018-DEC-27",2018,"DEC","27","Beach or Land","NA","NA","Fresh Dead","Y","2018-DEC-28","2018","DEC","28","Fresh Dead","N","Female","Yearling","132","cm","actual","35","kg","2018-DEC-28","2018","DEC","28","CRC","found dead on beach in late afternoon. RP secured for pickup next morning. Note: Transient KWs were in SPS on the 27th, per Orca Network reports.. large area of scavenging L side flank (blubber and some muscle around L scapula). Unusual edges around scaveging--type of scavenger TBD. R side small area of scavenging above R pec fin, 2 cuts with smooth edges @ posterior end of scavenged area. Strange crescent shaped marks along anterior margin of scavenged area, different from other side--type of scavenger TBD. Few short parallel line scars at R upper jaw but do not appear to wrap around head.. . Blunt and sharp force trauma to R side. Sharp trauma appears smooth edged and possibly caused by knife. Cut goes between ribs and into thoracic cavity, sepsis in R thoracic, stemming from wound. R scapula and first 2 ribs broken at site of injury. Several small parallel line scars on R upper mouthline--possible line markings. Possible entanglement and stabbing (or cutting during release)? Scavenging in area of sharp trauma made determination of exact type of injury difficult to determine. Excellent body condition.","Harbor porpoise","Inland_WA",-0.0493749999999977,0.0336500000000015,-122.8698,47.2516,47.28525,-122.919175
"Mason","NW-2018-1208005","CRC-1702",NA,"18NWR12030","NA","Porpoise, harbor","Phocoena","phocoena","Ready for Regional Validation","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","Allyn","WA","Puget Sound","231 Nelson Rd",47.3606,"dd.dddd","actual",-122.8257,"dd.dddd","actual","GPS","N","CBD","2018-DEC-28",2018,"DEC","28","Beach or Land","NA","NA","Fresh Dead","Y","2019-JAN-01","2019","JAN","1","Fresh Dead","N","Female","Calf","127","cm","actual","35","kg","2019-JAN-01","2019","JAN","1","CRC","First seen on 28-Dec but not reported until 31-Dec. Outdoor temps in low 40s during the day and low to mid 30s at night, so carcass remained reasonably cold during the few days on the beach. Note: Transient KWs were in SPS on the 27th, per Orca Network reports.. Thin outermost layer of skin beginning to dry and slough, especially on L side. Minor scavenging at R lower jaw and eye. Superficial scrapes and scratches on top of head and area forward of dorsal and around mouth. Notch taken out of trailing edge of L fluke.. . no evidence of HI but condition of skin (scratches, scrapes, and cracks) would make it difficult to see line markings if they had been there, particularly around the mouth. COD acute, excellent body condition.","Harbor porpoise","Inland_WA",-0.0934750000000122,-0.0753499999999931,-122.8257,47.3606,47.28525,-122.919175
"Pacific","NW-2012-1145881","PSU12-06-17A-Pp",NA,"12NWR06042","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Ocean Park","WA","Pacific Ocean","0.4 mile south of Oysterville Road access",46.54286,"dd.dddd","estimate",-124.0592,"dd.dddd","NA","Internet","N","CBD","2012-JUN-17",2012,"JUN","17","Beach or Land","NA","NA","Moderate Decomposition","N","2012-JUN-17","2012","JUN","17","Moderate Decomposition","N","Female","Subadult","129.3","cm","actual","0","kg","2012-JUN-22","2012","JUN","22","Duffield and D'Alessandro","NA","Harbor porpoise","WA_Coast",-0.00848863636363717,-0.100669318181815,-124.0592,46.54286,46.4421906818182,-124.067688636364
"Pacific","NW-2011-1134993","PSU11-05-27A-Pp",NA,"11NWR05036","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Long Beach","WA","Pacific Ocean","0.2 mile north of Cranberry Rd access",46.39854,"dd.dddd","NA",-124.0618,"dd.dddd","NA","GPS","N","Y","2011-MAY-27",2011,"MAY","27","Beach or Land","NA","NA","Advanced Decomposition","N","2011-MAY-27","2011","MAY","27","Advanced Decomposition","N","Female","Adult","162.9","cm","actual","0","lb","2011-MAY-29","2011","MAY","29","Duffileld et al","NA","Harbor porpoise","WA_Coast",-0.00588863636363612,0.0436506818181854,-124.0618,46.39854,46.4421906818182,-124.067688636364
"Pacific","NW-2013-1155469","PSU13-08-11-Pp",NA,"13NWR08128","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Seaview","WA","Pacific Ocean","7 mi north of Seaview access",46.32061,"dd.dddd","actual",-124.0696,"dd.dddd","NA","GPS","N","Y","2013-AUG-11",2013,"AUG","11","Beach or Land","NA","NA","Moderate Decomposition","N","2013-AUG-11","2013","AUG","11","Moderate Decomposition","N","Female","Adult","136","cm","actual","0","kg","2013-NOV-07","2013","NOV","7","Duffield et al.","Line marks on dorsal peduncle are approximately 0.5 cm apart, each with an average length of 1.8 cm, and cover a 13 cm long area along peduncle. Some bruising at right dorsal peduncle. Hemorrhaging at right scapula and subscapula, and right lateral ventral posterior ribs and extending posteriorly. Hemorrhage also along esophagus and cervical vertebrae. Blood in thoracic cavity. Emphysema at subscapulae, in abdominal cavity, and around kidneys.","Harbor porpoise","WA_Coast",0.00191136363636701,0.12158068181818,-124.0696,46.32061,46.4421906818182,-124.067688636364
"Pacific","NW-2011-1134995","PSU11-05-29B-Pp",NA,"11NWR05038","Confirmed - High","Porpoise, harbor","Phocoena","phocoena","Validated","Debbie Duffield","Portland State University","Portland State University","NW","United States","Long Beach","WA","Pacific Ocean","1.3 miles south of Cranberry Road access",46.37657,"dd.dddd","NA",-124.0635,"dd.dddd","NA","GPS","N","CBD","2011-MAY-29",2011,"MAY","29","Beach or Land","NA","NA","Advanced Decomposition","N","2011-MAY-29","2011","MAY","29","Advanced Decomposition","N","Male","Subadult","139.1","cm","actual","0","lb","2011-MAY-31","2011","MAY","31","D'Alessandro et al","NA","Harbor porpoise","WA_Coast",-0.00418863636363653,0.0656206818181815,-124.0635,46.37657,46.4421906818182,-124.067688636364
"Pacific","NW-2007-1200343","PSU07-07-11-Pp",NA,"07NWR07420","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Ready for Regional Validation","D. Duffield","Portland State University","Portland State University","NW","United States","Ilwaco","WA","Pacific Ocean","Benson Beach, Cape Disappointment State Park",46.2799,"dd.dddd","actual",-124.0776,"dd.dddd","actual","GPS","N","CBD","2007-JUL-11",2007,"JUL","11","Beach or Land","NA","NA","Moderate Decomposition","N","2007-JUL-11","2007","JUL","11","Moderate Decomposition","N","Unid","Calf","0","cm","estimate","NA","NA","NA","NA","NA","NA","NA","NA","Harbor porpoise","WA_Coast",0.00991136363636258,0.162290681818185,-124.0776,46.2799,46.4421906818182,-124.067688636364
