County,National.Database.Number,Field.Number,HI,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,Country,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Obs.Date.estimate.explaination,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Pacific,NW-2014-1159437,CRC-1399,,14NWR07074,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Grayland,WA,Pacific Ocean,1/2 mile N of Warrenton Cannery Rd,46.75230,dd.dddd,estimate,-124.0999,dd.dddd,estimate,Internet/Software,N,CBD,2014-JUL-21,2014,JUL,21,Beach or Land,NA,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Female,Calf,80,cm,estimate,NA,NA,NA,NA,NA,NA,NA,examined via photos only,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.037325987,-0.295236046,-1240999,467523
Pacific,NW-2014-1159823,PSU14-07-01-Pp,,14NWR07089,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,1 mi north of Cranberry access,46.40980,dd.dddd,actual,-124.0618,dd.dddd,NA,GPS,N,N,2014-JUL-01,2014,JUL,1,Beach or Land,NA,NA,Fresh Dead,N,2014-JUL-01,2014,JUL,1,Fresh Dead,N,Female,Adult,161,cm,actual,0,kg,2014-JUL-02,2014,JUL,2,Duffield and Powell,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.000774013,0.047263954,-1240618,464098
Pacific,NW-2014-1170591,PSU14-11-05-Pp,,14NWR11037,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Ocean Park,WA,Pacific Ocean,1 mi north of access,46.50597,dd.dddd,actual,-124.0602,dd.dddd,NA,GPS,N,Y,2014-NOV-05,2014,NOV,5,Beach or Land,NA,NA,Moderate Decomposition,N,2014-NOV-05,2014,NOV,5,Moderate Decomposition,N,Female,Subadult,119,cm,actual,0,kg,2014-NOV-17,2014,NOV,17,Duffield et al.,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.002374013,-0.048906046,-1240602,4650597
Pacific,NW-2014-1155550,PSU14-01-12-Pp,,14NWR01021,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Klipsan,WA,Pacific Ocean,0.1 mi south of access - tide moved it to 6.9 mi north of North Head,46.40512,dd.dddd,actual,-124.0590,dd.dddd,NA,GPS,N,CBD,2014-JAN-12,2014,JAN,12,Beach or Land,NA,NA,Moderate Decomposition,N,2014-JAN-12,2014,JAN,12,Moderate Decomposition,N,Unid,Subadult,0,cm,estimate,0,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,-0.003534013,0.051943954,-12405904,4640512
Pacific,NW-2014-1159831,PSU14-07-07-Pp,,14NWR07097,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Seaview,WA,Pacific Ocean,1.5 mi north of access,46.30917,dd.dddd,actual,-124.0722,dd.dddd,NA,GPS,N,CBD,2014-JUL-07,2014,JUL,7,Beach or Land,NA,NA,Fresh Dead,N,2014-JUL-07,2014,JUL,7,Fresh Dead,N,Male,Calf,79,cm,actual,0,kg,2014-AUG-24,2014,AUG,24,Duffield and Powell,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.009665987,0.147893954,-12407224,4630917
Pacific,NW-2014-1159433,CRC-1395,,14NWR07070,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,North Cove,WA,Pacific Ocean,Washaway Beach,46.73870,dd.dddd,estimate,-124.0857,dd.dddd,estimate,Internet/Software,N,N,2014-JUL-19,2014,JUL,19,Beach or Land,NA,NA,Moderate Decomposition,N,2014-JUL-19,2014,JUL,19,Moderate Decomposition,N,Female,Calf,80,cm,actual,7.4,kg,2014-JUL-19,2014,JUL,19,CRC,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.023125987,-0.281636046,-1240857,467387
Pacific,NW-2014-1200575,PSU14-09-28-Pp,,14NWR09126,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Ready for Regional Validation,D. Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,1.8 miles south of Cranberry Road access,46.36963,dd.dddd,actual,-124.0646,dd.dddd,actual,GPS,N,Y,2014-SEP-28,2014,SEP,28,Beach or Land,NA,NA,Moderate Decomposition,N,2014-SEP-29,2014,SEP,29,Moderate Decomposition,N,Female,Yearling,112.4,cm,actual,NA,NA,2015-APR-07,2015,APR,7,Duffield et al.,internal organs hemorrhaged; bloody fluid in thoracic cavity; pink foam in bronchi; the porpoise was thin,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.001985987,0.087433954,-12406456,4636963
Pacific,NW-2014-1159833,PSU14-07-10-Pp,,14NWR07099,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Long Beach,WA,Pacific Ocean,1.5 mi north of Cranberry access,46.30917,dd.dddd,actual,-124.0722,dd.dddd,NA,GPS,N,CBD,2014-JUL-10,2014,JUL,10,Beach or Land,NA,NA,Moderate Decomposition,N,2014-JUL-14,2014,JUL,14,Mummified/Skeletal,N,Unid,Subadult,0,cm,estimate,0,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.65E+14,-1.24E+14,0.009665987,0.147893954,-12407224,4630917
San Juan,NW-2014-1157691,2014-SJ014,,14NWR05036,Confirmed - Minimum,"Porpoise, harbor",Phocoena,phocoena,Validated,None,The Whale Museum,Whale Museum,NW,United States,Lopez Island,WA,Pacific Ocean,"Jade Point, South end of Lopez Island, WA",48.42163,dd.dddd,NA,-122.8670,dd.dddd,NA,NA,N,CBD,2014-MAY-13,2014,MAY,13,Floating,NA,NA,Fresh Dead,Y,NA,NA,NA,NA,NA,N,Unid,Unid,42,in,estimate,NA,NA,NA,NA,NA,NA,NA,Very fresh (still had eyes). Report was e-mailed ~two weeks after sighting so there was no field investigation,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2014-1157522,2014-SJ007,,14NWR05029,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jennifer Olson,Whale Museum,Whale Museum,NW,United States,San Juan Island,WA,Pacific Ocean,Cattle Point,48.45211,dd.dddd,actual,-122.9694,dd.dddd,actual,GPS,N,CBD,2014-MAY-27,2014,MAY,27,Beach or Land,NA,NA,Fresh Dead,N,2014-MAY-27,2014,MAY,27,Fresh Dead,N,Male,Adult,138.5,cm,actual,54,kg,2014-JUN-05,2014,JUN,5,Joe Gaydos,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,0.055245562,0.029321763,-122969447,484521148
