MEI,NPGO,PDO,SST_39,SST_44,Upwelling_39,Upwelling_45,Wind_39,Wind_44,ENSO_cat,MEI_lag1,NPGO_lag1,PDO_lag1,SST_39_lag1,SST_44_lag1,Upwelling_39_lag1,Upwelling_45_lag1,Wind_39_lag1,Wind_44_lag1,ENSO_cat_lag1,MEI_lag2,NPGO_lag2,PDO_lag2,SST_39_lag2,SST_44_lag2,Upwelling_39_lag2,Upwelling_45_lag2,Wind_39_lag2,Wind_44_lag2,ENSO_cat_lag2,MEI_lag3,NPGO_lag3,PDO_lag3,SST_39_lag3,SST_44_lag3,Upwelling_39_lag3,Upwelling_45_lag3,Wind_39_lag3,Wind_44_lag3,ENSO_cat_lag3,SST_39_anom,SST_44_anom,SST_39_anom_lag1,SST_44_anom_lag1,SST_39_anom_lag2,SST_44_anom_lag2,SST_39_anom_lag3,SST_44_anom_lag3,CBA_North,CBA_South,CBA_North_lag1,CBA_South_lag1,CBA_North_lag2,CBA_South_lag2,CBA_North_lag3,CBA_South_lag3,Month.of.Observation,Year.of.Observation
0.006,2.349303,-0.47,10.529,13.499,336.9276,39.042,-5.33482,-2.759078,El Nino,0.233,1.9538953,-0.3,10.34,11.141,312.8924,48.9878,-4.46399,-3.624092,El Nino,-0.091,2.2039413,-0.31,9.921,9.908,131.0277,-15.8013,-4.09427,0.737709,La Nina,-0.571,2.388775,0.45,10.546,9.552,145.5372,-21.1961,-3.45088,-0.378919,La Nina,-0.52188,-0.192136364,-0.728043478,-1.152045455,-1.062041667,-0.83065,-0.669666667,-0.5639,0.069282286,-0.18212162,0.19147101,-0.2169017,0.13269043,-0.30710992,0.051433332,-0.29929096,SEP,2001
0.27,1.5004872,-1.31,10.629,12.062,298.5313,89.3747,-4.20282,-4.918977,El Nino,0.006,2.349303,-0.47,10.529,13.499,336.9276,39.042,-5.33482,-2.759078,El Nino,0.233,1.9538953,-0.3,10.34,11.141,312.8924,48.9878,-4.46399,-3.624092,El Nino,-0.091,2.2039413,-0.31,9.921,9.908,131.0277,-15.8013,-4.09427,0.737709,La Nina,-1.251869565,-1.642590909,-0.52188,-0.192136364,-0.728043478,-1.152045455,-1.062041667,-0.83065,0.27887484,-0.13645972,0.069282286,-0.18212162,0.19147101,-0.2169017,0.13269043,-0.30710992,OCT,2001
0.338,1.9150242,-0.77,12.296,13.69,208.1692,24.2675,-4.14266,-0.78065,El Nino,0.27,1.5004872,-1.31,10.629,12.062,298.5313,89.3747,-4.20282,-4.918977,El Nino,0.006,2.349303,-0.47,10.529,13.499,336.9276,39.042,-5.33482,-2.759078,El Nino,0.233,1.9538953,-0.3,10.34,11.141,312.8924,48.9878,-4.46399,-3.624092,El Nino,-0.202458333,0.491227273,-1.251869565,-1.642590909,-0.52188,-0.192136364,-0.728043478,-1.152045455,0.07117025,-0.23129795,0.27887484,-0.13645972,0.069282286,-0.18212162,0.19147101,-0.2169017,NOV,2001
-0.165,1.8929954,-1.37,13.074,12.417,115.4726,35.4522,-2.59625,-2.518575,La Nina,0.338,1.9150242,-0.77,12.296,13.69,208.1692,24.2675,-4.14266,-0.78065,El Nino,0.27,1.5004872,-1.31,10.629,12.062,298.5313,89.3747,-4.20282,-4.918977,El Nino,0.006,2.349303,-0.47,10.529,13.499,336.9276,39.042,-5.33482,-2.759078,El Nino,-0.06172,-1.189590909,-0.202458333,0.491227273,-1.251869565,-1.642590909,-0.52188,-0.192136364,0.5061597,-0.21224244,0.07117025,-0.23129795,0.27887484,-0.13645972,0.069282286,-0.18212162,DEC,2001
-0.275,1.1619115,-1.37,11.805,11.601,116.9474,-1.7463,-2.00242,-0.912125,La Nina,-0.165,1.8929954,-1.37,13.074,12.417,115.4726,35.4522,-2.59625,-2.518575,La Nina,0.338,1.9150242,-0.77,12.296,13.69,208.1692,24.2675,-4.14266,-0.78065,El Nino,0.27,1.5004872,-1.31,10.629,12.062,298.5313,89.3747,-4.20282,-4.918977,El Nino,-1.035115385,-1.313521739,-0.06172,-1.189590909,-0.202458333,0.491227273,-1.251869565,-1.642590909,0.6583352,-0.08592253,0.5061597,-0.21224244,0.07117025,-0.23129795,0.27887484,-0.13645972,JAN,2002
-0.153,1.7645249,-1.26,11.887,11.22,-55.8818,-204.9565,0.99764,4.112763,La Nina,-0.275,1.1619115,-1.37,11.805,11.601,116.9474,-1.7463,-2.00242,-0.912125,La Nina,-0.165,1.8929954,-1.37,13.074,12.417,115.4726,35.4522,-2.59625,-2.518575,La Nina,0.338,1.9150242,-0.77,12.296,13.69,208.1692,24.2675,-4.14266,-0.78065,El Nino,-0.862615385,-0.750958333,-1.035115385,-1.313521739,-0.06172,-1.189590909,-0.202458333,0.491227273,0.3049375,0.08123287,0.6583352,-0.08592253,0.5061597,-0.21224244,0.07117025,-0.23129795,FEB,2002
0.019,2.019483,-0.93,11.653,NA,-42.8813,-232.969,1.34919,NA,El Nino,-0.153,1.7645249,-1.26,11.887,11.22,-55.8818,-204.9565,0.99764,4.112763,La Nina,-0.275,1.1619115,-1.37,11.805,11.601,116.9474,-1.7463,-2.00242,-0.912125,La Nina,-0.165,1.8929954,-1.37,13.074,12.417,115.4726,35.4522,-2.59625,-2.518575,La Nina,-0.593076923,NA,-0.862615385,-0.750958333,-1.035115385,-1.313521739,-0.06172,-1.189590909,-0.257933,0.05026134,0.3049375,0.08123287,0.6583352,-0.08592253,0.5061597,-0.21224244,MAR,2002
0.009,1.8641573,0.27,NA,NA,-35.6473,-170.4299,NA,NA,El Nino,0.019,2.019483,-0.93,11.653,NA,-42.8813,-232.969,1.34919,NA,El Nino,-0.153,1.7645249,-1.26,11.887,11.22,-55.8818,-204.9565,0.99764,4.112763,La Nina,-0.275,1.1619115,-1.37,11.805,11.601,116.9474,-1.7463,-2.00242,-0.912125,La Nina,NA,NA,-0.593076923,NA,-0.862615385,-0.750958333,-1.035115385,-1.313521739,0.18839411,-0.016918682,-0.257933,0.05026134,0.3049375,0.08123287,0.6583352,-0.08592253,APR,2002
-0.176,2.1773567,-0.64,10.955,9.521,-0.5093,-69.5347,0.65471,0.990313,La Nina,0.009,1.8641573,0.27,NA,NA,-35.6473,-170.4299,NA,NA,El Nino,0.019,2.019483,-0.93,11.653,NA,-42.8813,-232.969,1.34919,NA,El Nino,-0.153,1.7645249,-1.26,11.887,11.22,-55.8818,-204.9565,0.99764,4.112763,La Nina,-0.472333333,-0.617736842,NA,NA,-0.593076923,NA,-0.862615385,-0.750958333,0.38793334,-0.099065036,0.18839411,-0.016918682,-0.257933,0.05026134,0.3049375,0.08123287,MAY,2002
-0.137,1.8982763,-0.43,10.738,9.269,88.8709,-61.7842,-2.04556,-0.104435,La Nina,-0.176,2.1773567,-0.64,10.955,9.521,-0.5093,-69.5347,0.65471,0.990313,La Nina,0.009,1.8641573,0.27,NA,NA,-35.6473,-170.4299,NA,NA,El Nino,0.019,2.019483,-0.93,11.653,NA,-42.8813,-232.969,1.34919,NA,El Nino,-0.477666667,-0.8469,-0.472333333,-0.617736842,NA,NA,-0.593076923,NA,0.821346,-0.3042377,0.38793334,-0.099065036,0.18839411,-0.016918682,-0.257933,0.05026134,JUN,2002
